year,results
1800,9
1801,0
1802,5
1803,1
1804,3
1805,5
1806,6
1807,8
1808,1
1809,3
1810,2
1811,3
1812,0
1813,5
1814,7
1815,9
1816,7
1817,2
1818,11
1819,13
1820,9
1821,12
1822,10
1823,20
1824,11
1825,14
1826,13
1827,8
1828,15
1829,20
1830,15
1831,18
1832,17
1833,17
1834,14
1835,26
1836,19
1837,22
1838,20
1839,31
1840,23
1841,30
1842,34
1843,33
1844,38
1845,51
1846,45
1847,30
1848,33
1849,37
1850,47
1851,62
1852,66
1853,56
1854,53
1855,65
1856,65
1857,86
1858,55
1859,85
1860,89
1861,69
1862,70
1863,92
1864,96
1865,106
