year,results
1976,2220
1977,2240
1978,2350
1979,2450
1980,2200
1981,2760
1982,2750
1983,2850
1984,3080
1985,2880
1986,3170
1987,3620
1988,3410
1989,3980
1990,4080
1991,4210
1992,4530
1993,4670
1994,4920
1995,5270
1996,5740
1997,6370
1998,6880
1999,7240
2000,8090
2001,9180
2002,10100
2003,11200
2004,11700
2005,11600
2006,14100
2007,16300
2008,17400
2009,18900
2010,18600
2011,20800
2012,22200
2013,23000
2014,23900
2015,24000
2016,25100
2017,25400
2018,26300
2019,27100
2020,29500
2021,31300
2022,31300
2023,30700
2024,23500
